query_id,AP_vec,AP_bm25,diff
198,0.4839080459770114,0.514066301703163,0.030158255726151606
48,0.1354871195106427,0.1662003247677843,0.03071320525714158
46,0.2772459280818804,0.3082989679120958,0.0310530398302154
70,0.0532882027909686,0.0866828704659807,0.03339466767501209
140,0.1115742877148701,0.1451416751660521,0.033567387451181985
220,0.1751261255338977,0.2100917763655758,0.0349656508316781
73,0.3190438336371267,0.3543629239157836,0.03531909027865693
12,0.1000335216053634,0.1367056129735894,0.03667209136822601
223,0.5510141987829614,0.5888888888888889,0.03787469010592748
54,0.0923242913941695,0.1313752972514251,0.0390510058572556
192,0.4702380952380952,0.5104166666666666,0.04017857142857145
68,0.0880191104498303,0.1282974259607654,0.04027831551093511
201,0.3058323500088447,0.3467668962592526,0.04093454625040793
76,0.203456992358814,0.2472101180240362,0.04375312566522219
129,0.3067522963480354,0.3508392625918786,0.04408696624384317
184,0.1977694353905212,0.2435771978138399,0.045807762423318715
165,0.45,0.5,0.04999999999999999
91,0.3028684069934672,0.353799802232977,0.05093139523950985
40,0.0709967457458237,0.1223334013038355,0.05133665555801181
214,0.1142416520399564,0.1656634746922024,0.05142182265224601
115,0.0163972773448644,0.067978466853815,0.0515811895089506
112,0.2794117647058823,0.3333333333333333,0.05392156862745101
149,0.3469095545908938,0.4010680303906835,0.05415847579978972
171,0.5499999999999999,0.6055555555555555,0.05555555555555558
153,0.2247549281103429,0.2807190079401821,0.055964079829839225
104,0.0454908424062012,0.1019664814121576,0.056475639005956396
126,0.1655266152937874,0.2236490621709797,0.05812244687719231
134,0.2121212121212121,0.2708333333333333,0.058712121212121215
187,0.2287144611091298,0.2891753497866173,0.0604608886774875
72,0.0896237015269529,0.1510621894098946,0.061438487882941706
162,0.2063140131297927,0.2680099449710482,0.06169593184125549
217,0.1617945801818775,0.2269354440492557,0.06514086386737819
218,0.1813732245516665,0.250611409167753,0.0692381846160865
33,0.3768115942028985,0.4477124183006535,0.070900824097755
96,0.280192946087229,0.3545281267639532,0.07433518067672418
224,0.1410530120724876,0.2157637886804553,0.07471077660796768
169,0.1745361781076067,0.2537379816791581,0.07920180357155143
7,0.1782635024549918,0.25879098212019,0.08052747966519821
160,0.0373050880910368,0.1199354317998386,0.08263034370880179
132,0.6513189732789104,0.7345186187766832,0.08319964549777281
97,0.1181122676098483,0.2021288188568484,0.08401655124700011
78,0.4909090909090909,0.5777777777777777,0.08686868686868682
164,0.4350370734217634,0.5280643738977072,0.09302730047594382
200,0.3207282913165266,0.4166666666666667,0.0959383753501401
222,0.678863802536369,0.7771475012854325,0.09828369874906351
122,0.1959603742296646,0.2944780459239202,0.09851767169425557
84,0.2744621688748503,0.3731565160501736,0.09869434717532327
170,0.3866193260930102,0.4924073827292111,0.10578805663620089
190,0.3153821616979512,0.4227761485826001,0.1073939868846489
133,0.1277574971794038,0.2411430813686453,0.1133855841892415
180,0.3469387755102041,0.4676190476190475,0.12068027210884341
182,0.45,0.5833333333333333,0.13333333333333325
161,0.3985561292790209,0.5374564794253914,0.13890035014637053
208,0.2058978041008152,0.3469038897610326,0.14100608566021738
193,0.6892179636082074,0.8316411649744982,0.14242320136629083
106,0.3112327857972457,0.4561224489795918,0.14488966318234608
179,0.3625277833905839,0.5173298650168728,0.15480208162628895
64,0.3611111111111111,0.5256410256410257,0.16452991452991456
143,0.5,0.6666666666666666,0.16666666666666663
5,0.1583853238265003,0.3287414965986395,0.17035617277213919
25,0.5132130410043032,0.6928919802926765,0.1796789392883733
141,0.2767649404259311,0.4583219068513186,0.1815569664253875
206,0.0611010965900555,0.2800556821057959,0.2189545855157404
118,0.1203703703703703,0.3470319634703196,0.22666159309994932
85,0.018725048226084,0.2644128928066752,0.24568784458059117
18,0.1079585178280121,0.3566508458074723,0.24869232797946023
154,0.5833333333333333,0.8333333333333333,0.25
150,0.5833333333333333,0.8333333333333333,0.25
136,0.1184371184371184,0.4102564102564102,0.2918192918192918
15,0.7,1.0,0.30000000000000004
36,0.1688500727802037,0.5028490028490028,0.3339989300687991
205,0.35,0.7,0.35
173,0.5833333333333333,1.0,0.41666666666666674
81,0.2678571428571428,0.8333333333333333,0.5654761904761905
167,0.1079545454545454,0.75,0.6420454545454546
